PartyID,Name,IBAN,CountryCode
P00001,Global Finance SpA,SE6510619244403548659086,
P00002,Peter Dubois,DE7133045310603257969962,DE
P00003,Euro Pharma SRL,NL9610304050649247336984,NL
P00004,Sofia Tanaka,IE2719568301638796370585,IE
P00005,Swift Consulting SRL,GB8390119815033598574772,GB
P00006,Public Hospital Amsterdam,SE4763498324819388329830,SE
P00007,Marco Johansson,SE1424526592910674091882,SE
P00008,Green Metals plc,GB1814464105798384204521,GB
P00009,Vertex Energy SA,IT3890906509784211682031,IT
P00010,Quantum Foods SAS,FR3093643330580677234818,FR
P00011,Nova Pharma SA,IT9248227316263205122508,IT
P00012,Global Aerospace BV,NL9060764157160237289107,NL
P00013,Omega Finance GmbH,NL5546551593767642011788,NL
P00014,Euro Foods SRL,FR2900735651357301294448,FR
P00015,Lars Murphy,CH3749972085904743664460,CH
P00016,Green Metals SA,CH1655619275027378796910,CH
P00017,Quantum Aerospace SpA,CH9387436878626117057301,CH
P00018,Nova Consulting BV,IE8524843686940093795657,IE
P00019,Paulo Keller,NL3556371155534712671053,NL
P00020,Maria Khan,ES1402538333103388323427,ES
P00021,Pacific Systems plc,NL4072689963561714562229,NL
P00022,Rapid Retail GmbH,FR6946611573914176831021,FR
P00023,Prime Systems GmbH,GB4879634691277595915281,GB
P00024,Peter Fernandez,DE4821216843413050402187,DE
P00025,Green Logistics SA,US9734311624175743258937,US
P00026,Public Hospital Lisbon,NL2739001246615124434963,NL
P00027,Summit Holdings SA,IT5124414966791109054629,IT
P00028,Sofia Rossi,US4832032368706806973168,US
P00029,Northern Foods SpA,IE9156140366206162495310,IE
P00030,Customs Agency Dublin,CH3484337507679700900703,CH
P00031,Summit Media SpA,FR5611078609525220973202,FR
P00032,Eva Johansson,IE9989824070193567056971,IE
P00033,Lars Keller,US9268414196553798685212,US
P00034,Omega Pharma Inc,NL4171618164982806893362,NL
P00035,Vertex Energy GmbH,GB6611032987050741229089,GB
P00036,Pacific Metals GmbH,DE9881195555004489851440,DE
P00037,Anna Weiss,GB8641678421125788372494,GB
P00038,Vertex Foods plc,GB3326650540339853347417,GB
P00039,Quantum Energy plc,SE8852155953200079950995,SE
P00040,Marta Berg,GB3221260350483335357169,GB
P00041,Luis Costa,CH9073767406131899021939,CH
P00042,Anna Johansson,PT8895160997207943104258,PT
P00043,Apex Logistics GmbH,IT5187827886478491491932,IT
P00044,Summit Metals LLC,NL5358147753795853322797,NL
P00045,Swift Foods plc,ES1661890939639320817289,ES
P00046,Blue Tech Inc,ES6216573362072284337131,ES
P00047,Northern Pharma SA,CH3384108271875509811621,CH
P00048,Blue Tech SA,ES6859404556732231401807,ES
P00049,Rapid Automotive Inc,NL4355867716716306428035,NL
P00050,Omar Muller,PT3911220300641423209549,PT
P00051,Quantum Consulting GmbH,FR5650079930824534877947,FR
P00052,Rapid Systems LLC,PT6630500632819077764889,PT
P00053,Green Consulting SpA,DE6116374497286218464912,DE
P00054,Omega Consulting SRL,NL3828812454229484561686,NL
P00055,Pacific Media BV,PT5062973302220886114785,PT
P00056,Euro Systems BV,IE7010256974748792671050,IE
P00057,Northern Tech BV,US1478618878818357975637,US
P00058,Omega Systems plc,GB9172321627849940993315,GB
P00059,Apex Holdings SAS,SE4202497697212445043517,SE
P00060,Nina Muller,SE6954227151582425011398,SE
P00061,Summit Foods LLC,FR1722925251121049546157,FR
P00062,Nova Systems SRL,NL1073505598381380636375,NL
P00063,Swift Automotive BV,CH6324292044294687835964,CH
P00064,Euro Metals SRL,PT2935734581093074433536,PT
P00065,Apex Metals Inc,DE2647569269067906001983,DE
P00066,Quantum Tech Ltd,IE4304231341628169096880,IE
P00067,Prime Automotive Inc,US8982244356039860127869,US
P00068,Vertex Media SAS,ES7021373318310426500853,ES
P00069,Public Hospital Zurich,NL9157436860362756590026,NL
P00070,Ken Dubois,DE2918886485661559057199,DE
P00071,Vertex Aerospace plc,GB2773610733710934290726,GB
P00072,Marta Ibrahim,GB4719511089417457705451,GB
P00073,Pacific Finance GmbH,IT3337354416310492539715,IT
P00074,Marco Garcia,SE4743982627190075108512,SE
P00075,Pacific Metals SAS,US5344051403482777376015,US
P00076,Blue Media BV,CH5349670406018092800662,CH
P00077,Prime Holdings SAS,IT5202027402030870685201,IT
P00078,Vertex Industries SpA,GB5387059047993961451330,GB
P00079,Northern Systems SRL,DE7488139412162322256571,DE
P00080,Eva Weiss,NL5072211031924879369556,NL
P00081,Euro Industries LLC,GB8747765767036651581923,GB
P00082,Pacific Logistics BV,DE7818547089177934745608,DE
P00083,Lars Silva,IE4848305309588346276210,IE
P00084,Lars Rossi,ES8252600858609966569992,ES
P00085,Quantum Metals Inc,DE9579588363354112918641,DE
P00086,Atlantic Aerospace SRL,GB4312713783144595554203,GB
P00087,Swift Finance SAS,GB2397360625291037427399,GB
P00088,Northern Pharma SRL,ES4695922102953619469097,ES
P00089,Swift Systems BV,IE1585178971014072347370,IE
P00090,Ken Dubois,CH7964796870528907825173,CH
P00091,Atlantic Media plc,CH8579408207669795422802,CH
P00092,Atlantic Metals GmbH,SE6071507099898601242798,SE
P00093,Paulo Smith,US8901450341388136704707,US
P00094,Rapid Energy LLC,FR1772878333013759910629,FR
P00095,Customs Agency New York,GB2508907834390428059866,GB
P00096,Northern Industries BV,PT2279761695600426132158,PT
P00097,Atlantic Aerospace SpA,SE2105732890242282403703,SE
P00098,Atlantic Energy GmbH,PT2889889114097900637245,PT
P00099,City Council Amsterdam,NL4860210327661391376762,NL
P00100,Prime Metals Inc,US7465470771878693574367,US
P00101,Atlantic Systems plc,NL3196275335003549468406,NL
P00102,Marta Fernandez,ES3997379165356238685649,ES
P00103,Blue Energy SAS,FR9853056995841744295342,FR
P00104,Swift Tech SAS,PT2482810135098752430879,PT
P00105,Public Hospital New York,NL3556852146224985725335,NL
P00106,Summit Systems SRL,CH2695637863695552537827,CH
P00107,Anna Tanaka,PT4871746537846478149779,PT
P00108,Green Tech LLC,ES2257384514338343468189,ES
P00109,Green Finance Inc,FR9821368133357119487879,FR
P00110,Green Systems Ltd,FR1760652231347221130358,FR
P00111,University of Stockholm,IE6876959432922804217967,IE
P00112,Global Finance Inc,SE9998341750606809389618,SE
P00113,Green Energy Ltd,NL5052433986414156794558,NL
P00114,Atlantic Aerospace LLC,ES5753949407031585611157,ES
P00115,Atlantic Tech SRL,SE7239843794411207892455,SE
P00116,Rapid Systems BV,CH9366454453305062281878,CH
P00117,Maria Johansson,FR1435075195590075236603,FR
P00118,Emma Khan,PT9148340608539368156113,PT
P00119,Omega Aerospace SAS,PT7520675771355077775625,PT
P00120,Nova Energy plc,NL5624669856551335266606,NL
P00121,Vertex Media SpA,SE8979800195141301736147,SE
P00122,Northern Systems GmbH,FR2378517622158909080420,FR
P00123,Ines Keller,PT6654843224073267860930,PT
P00124,Prime Finance SRL,FR2663052540473932396873,FR
P00125,Summit Holdings SpA,DE9807282501147926941065,DE
P00126,Northern Metals BV,GB3811496910079741836319,GB
P00127,Northern Retail GmbH,PT6400768540643055212663,PT
P00128,Ines Ibrahim,IE1193545834541764662072,IE
P00129,Atlantic Energy SA,ES8893066922090369295349,ES
P00130,Customs Agency New York,DE1580038491977766436334,DE
P00131,Pacific Finance LLC,IT1494210172696701301477,IT
P00132,John Johansson,SE9711524094452260968325,SE
P00133,Apex Pharma SRL,US6285231735840490913198,US
P00134,Marco Tanaka,IE9478572248802876166969,IE
P00135,Prime Finance SA,FR7896938892804125409207,FR
P00136,Nina Smith,DE3676662603265458611414,DE
P00137,Blue Media Inc,FR1089614397868282595598,FR
P00138,Northern Energy Ltd,PT6044168704572516538128,PT
P00139,Rapid Media Inc,CH8384875550502177836095,CH
P00140,Pacific Tech LLC,ES7726645034538966874733,ES
P00141,Prime Finance Inc,IE6354872395849256119977,IE
P00142,Pacific Energy plc,ES1527980459898512471534,ES
P00143,Green Consulting BV,CH7097034083676810953965,CH
P00144,Swift Foods GmbH,ES1591073433281291338464,ES
P00145,Swift Foods GmbH,IT1065091934096528701800,IT
P00146,Summit Finance SAS,PT9243272709139623094072,PT
P00147,Quantum Media Inc,IT5153043286345082206774,IT
P00148,Rapid Foods LLC,SE3012440929949557907365,SE
P00149,Yu Keller,SE2800380905398793443590,SE
P00150,Swift Consulting GmbH,GB9531009886324708460618,GB
P00151,Swift Holdings SRL,DE6920089980652896831724,DE
P00152,Nova Media BV,FR2893350016939881508744,FR
P00153,Green Pharma BV,FR6075905063632966529738,FR
P00154,Pacific Logistics Inc,NL9580676475752993353702,NL
P00155,Ines Silva,IT4478606982778232681609,IT
P00156,Nova Logistics GmbH,US9332794135627500349376,US
P00157,Pacific Finance Inc,IT3186187656494447469267,IT
P00158,Swift Metals SRL,DE5418032914618092712034,DE
P00159,Emma Muller,IT8547275487312844404613,IT
P00160,Pacific Systems SRL,SE9984443910555073245236,SE
P00161,John Costa,IT9996632470492293076014,IT
P00162,Euro Tech GmbH,PT7352497946469102996928,PT
P00163,Omega Holdings SpA,SE1827232578415853889909,SE
P00164,Marta Tanaka,DE4912659620170585888603,DE
P00165,Euro Systems Ltd,US1683795530300465266912,US
P00166,Tax Authority Amsterdam,DE8515543319896397973286,DE
P00167,Atlantic Foods plc,US8108545030786562569229,US
P00168,Atlantic Media Ltd,US1956276767989887952867,US
P00169,Emma Tanaka,PT7212143446819649571787,PT
P00170,Apex Energy plc,CH8961871048989122134938,CH
P00171,Summit Systems Inc,CH9179584785601649839072,CH
P00172,Rapid Tech BV,PT8454551511744049473566,PT
P00173,Customs Agency Dublin,CH9101788756600671895675,CH
P00174,Ken Garcia,IE3175507326924710866003,IE
P00175,Euro Consulting BV,IE4108976186379723368925,IE
P00176,John Silva,IE3245080725014841119923,IE
P00177,Summit Finance Inc,IE9318906590034385772854,IE
P00178,Euro Energy LLC,GB1430897299880765642453,GB
P00179,Paulo Costa,DE7718238984856139125878,DE
P00180,Vertex Finance Inc,US9008845942373483872602,US
P00181,Summit Automotive SpA,IT3667827570962162664374,IT
P00182,University of Berlin,ES6620232239334876575590,ES
P00183,Quantum Metals SRL,GB5999140908308294601279,GB
P00184,Apex Metals Ltd,SE3614608504817606157565,SE
P00185,Paulo Tanaka,IE2166879377883405924727,IE
P00186,Apex Metals SAS,CH9293335805064565599410,CH
P00187,Vertex Consulting SpA,SE4815977290088727731483,SE
P00188,Global Consulting plc,NL9836251460017275730399,NL
P00189,Green Energy Ltd,DE8250433214244264756699,DE
P00190,Euro Holdings Ltd,CH5108481812694462443063,CH
P00191,Euro Energy LLC,DE3615596407836797221938,DE
P00192,Peter Berg,IT9836890490995042687617,IT
P00193,John Costa,US6514043088818623373330,US
P00194,John Silva,DE6681088264263617906307,
P00195,Lars Garcia,DE4006871103889968331099,DE
P00196,Rapid Metals SA,IE9288880986924953428920,IE
P00197,Quantum Media Ltd,IT3424030237128415019588,IT
P00198,Apex Pharma GmbH,CH4556599845290940018525,CH
P00199,Quantum Pharma SA,IE6120347950300266198339,IE
P00200,Green Retail SAS,DE6772787807568542305088,DE
P00201,Sara Dubois,CH9195005407970019744723,CH
P00202,Blue Retail SpA,NL2033636694327956806065,NL
P00203,Marco Muller,IE5670886802054074353745,IE
P00204,Luis Costa,PT4888635276608685498458,PT
P00205,Quantum Holdings SAS,IT6390645038956517693848,IT
P00206,Emma Garcia,ES3528263662592888554867,ES
P00207,Pacific Holdings Ltd,FR8309603981060040113434,FR
P00208,Rapid Pharma GmbH,SE4296158478650205506369,SE
P00209,City Council Dublin,FR4424998930156379647566,FR
P00210,Atlantic Aerospace SRL,CH5276755414534400631087,CH
P00211,Omega Finance GmbH,GB6435636365384199934090,GB
