PartyID,Name,IBAN,CountryCode
C00001,Peter Dubois,DE7133045310603257969962,DE
C00002,Euro Pharma SRL,NL9610304050649247336984,NL
C00003,Sofia Tanaka,IE2719568301638796370585,IE
C00004,Swift Consulting SRL,GB8390119815033598574772,GB
C00005,Public Hospital Amsterdam,SE4763498324819388329830,SE
C00006,Marco Johansson,SE1424526592910674091882,SE
C00007,Green Metals plc,GB1814464105798384204521,GB
C00008,Vertex Energy SA,IT3890906509784211682031,IT
C00009,Quantum Foods SAS,FR3093643330580677234818,FR
C00010,Nova Pharma SA,IT9248227316263205122508,IT
C00011,Global Aerospace BV,NL9060764157160237289107,NL
C00012,Omega Finance GmbH,NL5546551593767642011788,NL
C00013,Euro Foods SRL,FR2900735651357301294448,FR
C00014,Lars Murphy,CH3749972085904743664460,CH
C00015,Green Metals SA,CH1655619275027378796910,CH
C00016,Quantum Aerospace SpA,CH9387436878626117057301,CH
C00017,Nova Consulting BV,IE8524843686940093795657,IE
C00018,Paulo Keller,NL3556371155534712671053,NL
C00019,Maria Khan,ES1402538333103388323427,ES
C00020,Pacific Systems plc,NL4072689963561714562229,NL
C00021,Rapid Retail GmbH,FR6946611573914176831021,FR
C00022,Prime Systems GmbH,GB4879634691277595915281,GB
C00023,Peter Fernandez,DE4821216843413050402187,DE
C00024,Green Logistics SA,US9734311624175743258937,US
C00025,Public Hospital Lisbon,NL2739001246615124434963,NL
C00026,Summit Holdings SA,IT5124414966791109054629,IT
C00027,Sofia Rossi,US4832032368706806973168,US
C00028,Northern Foods SpA,IE9156140366206162495310,IE
C00029,Customs Agency Dublin,CH3484337507679700900703,CH
C00030,Summit Media SpA,FR5611078609525220973202,FR
C00031,Eva Johansson,IE9989824070193567056971,IE
C00032,Lars Keller,US9268414196553798685212,US
C00033,Omega Pharma Inc,NL4171618164982806893362,NL
C00034,Vertex Energy GmbH,GB6611032987050741229089,GB
C00035,Pacific Metals GmbH,DE9881195555004489851440,DE
C00036,Anna Weiss,GB8641678421125788372494,GB
C00037,Vertex Foods plc,GB3326650540339853347417,GB
C00038,Quantum Energy plc,SE8852155953200079950995,SE
C00039,Marta Berg,GB3221260350483335357169,GB
C00040,Luis Costa,CH9073767406131899021939,CH
C00041,Anna Johansson,PT8895160997207943104258,PT
C00042,Apex Logistics GmbH,IT5187827886478491491932,IT
C00043,Summit Metals LLC,NL5358147753795853322797,NL
C00044,Swift Foods plc,ES1661890939639320817289,ES
C00045,Blue Tech Inc,ES6216573362072284337131,ES
C00046,Northern Pharma SA,CH3384108271875509811621,CH
C00047,Blue Tech SA,ES6859404556732231401807,ES
C00048,Rapid Automotive Inc,NL4355867716716306428035,NL
C00049,Omar Muller,PT3911220300641423209549,PT
C00050,Quantum Consulting GmbH,FR5650079930824534877947,FR
C00051,Rapid Systems LLC,PT6630500632819077764889,PT
C00052,Green Consulting SpA,DE6116374497286218464912,DE
C00053,Omega Consulting SRL,NL3828812454229484561686,NL
C00054,Pacific Media BV,PT5062973302220886114785,PT
C00055,Euro Systems BV,IE7010256974748792671050,IE
C00056,Northern Tech BV,US1478618878818357975637,US
C00057,Omega Systems plc,GB9172321627849940993315,GB
C00058,Apex Holdings SAS,SE4202497697212445043517,SE
C00059,Nina Muller,SE6954227151582425011398,SE
C00060,Summit Foods LLC,FR1722925251121049546157,FR
C00061,Nova Systems SRL,NL1073505598381380636375,NL
C00062,Swift Automotive BV,CH6324292044294687835964,CH
C00063,Euro Metals SRL,PT2935734581093074433536,PT
C00064,Apex Metals Inc,DE2647569269067906001983,DE
C00065,Quantum Tech Ltd,IE4304231341628169096880,IE
C00066,Prime Automotive Inc,US8982244356039860127869,US
C00067,Vertex Media SAS,ES7021373318310426500853,ES
C00068,Public Hospital Zurich,NL9157436860362756590026,NL
C00069,Ken Dubois,DE2918886485661559057199,DE
C00070,Vertex Aerospace plc,GB2773610733710934290726,GB
C00071,Marta Ibrahim,GB4719511089417457705451,GB
C00072,Pacific Finance GmbH,IT3337354416310492539715,IT
C00073,Marco Garcia,SE4743982627190075108512,SE
C00074,Pacific Metals SAS,US5344051403482777376015,US
C00075,Blue Media BV,CH5349670406018092800662,CH
C00076,Prime Holdings SAS,IT5202027402030870685201,IT
C00077,Vertex Industries SpA,GB5387059047993961451330,GB
C00078,Northern Systems SRL,DE7488139412162322256571,DE
C00079,Eva Weiss,NL5072211031924879369556,NL
C00080,Euro Industries LLC,GB8747765767036651581923,GB
C00081,Pacific Logistics BV,DE7818547089177934745608,DE
C00082,Lars Silva,IE4848305309588346276210,IE
C00083,Lars Rossi,ES8252600858609966569992,ES
C00084,Quantum Metals Inc,DE9579588363354112918641,DE
C00085,Atlantic Aerospace SRL,GB4312713783144595554203,GB
C00086,Swift Finance SAS,GB2397360625291037427399,GB
C00087,Northern Pharma SRL,ES4695922102953619469097,ES
C00088,Swift Systems BV,IE1585178971014072347370,IE
C00089,Ken Dubois,CH7964796870528907825173,CH
C00090,Atlantic Media plc,CH8579408207669795422802,CH
C00091,Atlantic Metals GmbH,SE6071507099898601242798,SE
C00092,Paulo Smith,US8901450341388136704707,US
C00093,Rapid Energy LLC,FR1772878333013759910629,FR
C00094,Customs Agency New York,GB2508907834390428059866,GB
C00095,Northern Industries BV,PT2279761695600426132158,PT
C00096,Atlantic Aerospace SpA,SE2105732890242282403703,SE
C00097,Atlantic Energy GmbH,PT2889889114097900637245,PT
C00098,City Council Amsterdam,NL4860210327661391376762,NL
C00099,Prime Metals Inc,US7465470771878693574367,US
C00100,Atlantic Systems plc,NL3196275335003549468406,NL
C00101,Marta Fernandez,ES3997379165356238685649,ES
C00102,Blue Energy SAS,FR9853056995841744295342,FR
C00103,Swift Tech SAS,PT2482810135098752430879,PT
C00104,Public Hospital New York,NL3556852146224985725335,NL
C00105,Summit Systems SRL,CH2695637863695552537827,CH
C00106,Anna Tanaka,PT4871746537846478149779,PT
C00107,Green Tech LLC,ES2257384514338343468189,ES
C00108,Green Finance Inc,FR9821368133357119487879,FR
C00109,Green Systems Ltd,FR1760652231347221130358,FR
C00110,University of Stockholm,IE6876959432922804217967,IE
C00111,Global Finance Inc,SE9998341750606809389618,SE
C00112,Green Energy Ltd,NL5052433986414156794558,NL
C00113,Atlantic Aerospace LLC,ES5753949407031585611157,ES
C00114,Atlantic Tech SRL,SE7239843794411207892455,SE
C00115,Rapid Systems BV,CH9366454453305062281878,CH
C00116,Maria Johansson,FR1435075195590075236603,FR
C00117,Emma Khan,PT9148340608539368156113,PT
C00118,Omega Aerospace SAS,PT7520675771355077775625,PT
C00119,Nova Energy plc,NL5624669856551335266606,NL
C00120,Vertex Media SpA,SE8979800195141301736147,SE
C00121,Northern Systems GmbH,FR2378517622158909080420,FR
C00122,Ines Keller,PT6654843224073267860930,PT
C00123,Prime Finance SRL,FR2663052540473932396873,FR
C00124,Summit Holdings SpA,DE9807282501147926941065,DE
C00125,Northern Metals BV,GB3811496910079741836319,GB
C00126,Northern Retail GmbH,PT6400768540643055212663,PT
C00127,Ines Ibrahim,IE1193545834541764662072,IE
C00128,Atlantic Energy SA,ES8893066922090369295349,ES
C00129,Customs Agency New York,DE1580038491977766436334,DE
C00130,Pacific Finance LLC,IT1494210172696701301477,IT
C00131,John Johansson,SE9711524094452260968325,SE
C00132,Apex Pharma SRL,US6285231735840490913198,US
C00133,Marco Tanaka,IE9478572248802876166969,IE
C00134,Prime Finance SA,FR7896938892804125409207,FR
C00135,Nina Smith,DE3676662603265458611414,DE
C00136,Blue Media Inc,FR1089614397868282595598,FR
C00137,Northern Energy Ltd,PT6044168704572516538128,PT
C00138,Rapid Media Inc,CH8384875550502177836095,CH
C00139,Pacific Tech LLC,ES7726645034538966874733,ES
C00140,Prime Finance Inc,IE6354872395849256119977,IE
C00141,Pacific Energy plc,ES1527980459898512471534,ES
C00142,Green Consulting BV,CH7097034083676810953965,CH
C00143,Swift Foods GmbH,ES1591073433281291338464,ES
C00144,Swift Foods GmbH,IT1065091934096528701800,IT
C00145,Summit Finance SAS,PT9243272709139623094072,PT
C00146,Quantum Media Inc,IT5153043286345082206774,IT
C00147,Rapid Foods LLC,SE3012440929949557907365,SE
C00148,Yu Keller,SE2800380905398793443590,SE
C00149,Swift Consulting GmbH,GB9531009886324708460618,GB
C00150,Swift Holdings SRL,DE6920089980652896831724,DE
C00151,Nova Media BV,FR2893350016939881508744,FR
C00152,Green Pharma BV,FR6075905063632966529738,FR
C00153,Pacific Logistics Inc,NL9580676475752993353702,NL
C00154,Ines Silva,IT4478606982778232681609,IT
C00155,Nova Logistics GmbH,US9332794135627500349376,US
C00156,Pacific Finance Inc,IT3186187656494447469267,IT
